municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new
"Roda, La",15643,56,35.79875982867737,39.1755765,-2.1843285,10000,"CLUB PÁDEL LA RODA.; CRATOSFIT; Centro Deportivo; Centro deportivo David Castro Fajardo; Club Polideportivo la Roda; Club Polideportivo y Social la Molineta; Clínica Salud y fitness La Roda; Cratos Center La Roda, Fisioterapia & Pilates",16.0,10.228217093907817
Salobre,442,49,1108.5972850678731,38.5928606,-2.5498208,4000,,0.0,0.0
San Pedro,1155,49,424.24242424242425,38.779652,-2.1646722,6000,Pabellón polideportivo,1.0,8.658008658008658
Socovos,1643,5,30.432136335970785,38.3327757,-1.9844827,6000,Gimnasio Transforma-T; Pabellón de Socovos.,1.0,6.086427267194157
Tarazona de la Mancha,6100,28,45.90163934426229,39.2651188,-1.912995,10000,C.d.escuadron del CARPFISHING; ESPECTÁCULOS PRIETO; GIMNASIO COLEGIO; NOVA Sports Gym; Pabellón Polideportivo de Tarazona de La Mancha.; Padel Tarazona; Polideportivo Descubierto; Snooker La Mancha 147,10.0,16.39344262295082
Tobarra,8006,9,11.241568823382464,38.5909581,-1.6930787,10000,"Centro ""sport fitness""; Club Pádel Tobarra; Gimnasio Valero Sport; Pabellón Polideportivo de Tobarra.; Tobafitness",5.0,6.245316012990258
Valdeganga,1970,20,101.5228426395939,39.1358432,-1.6772838,6000,Pabellón Polideportivo Municipal de Valdeganga; Polideportivo Municipal,2.0,10.152284263959391
Vianos,317,50,1577.2870662460566,38.5947041,-2.5098914,4000,,0.0,0.0
Villa de Ves,51,42,8235.294117647058,39.2226519,-1.2593206,4000,,0.0,0.0
Villalgordo del Júcar,1159,20,172.5625539257981,39.2964074,-2.0622166,6000,Polideportivo Municipal; Vértice10 Multiaventura,1.0,8.628127696289905
Villamalea,4083,13,31.83933382316924,39.3628674,-1.5971834,6000,Area Sport; OMNIFIT - CENTRO DEPORTIVO; Pabellón Deportivo; Polideportivo de Villamalea,4.0,9.796718099436688
Villapalacios,539,37,686.4564007421151,38.5756136,-2.6331952,4000,,0.0,0.0
Villarrobledo,25400,32,12.598425196850393,39.2683154,-2.6015635,18000,Centro Deportivo Tiger; Club Polideportivo Villarrobledo.; Complejo Polideportivo Municipal “Barrio Asturias” de Villarrobledo; Complejo Polideportivo Municipal “Barrio Socuéllamos” de Villarrobledo; FRAILE GYM Reyes Católicos.; FRAILE Gym Octavio Cuartero.; GIMNASIO Sipchin.; Human Club SC,20.0,7.874015748031496
Villatoya,114,37,3245.6140350877195,39.3330544,-1.3390901,4000,La libélula.Centro de yoga y permacultura.,1.0,87.71929824561403
Villavaliente,190,54,2842.1052631578946,39.1138831,-1.4724751,4000,,0.0,0.0
Villaverde de Guadalimar,325,23,707.6923076923076,38.4563278,-2.5183567,4000,,0.0,0.0
Viveros,293,65,2218.430034129693,38.7726567,-2.57553,4000,,0.0,0.0
Yeste,2471,8,32.375556454876566,38.3654376,-2.321546,6000,Anahata Yoga; Aventura Sierra del Segura; Centro de actividades Via Ferrata Yeste; Instalaciones Deportivas El Llano,3.0,12.140833670578711
