municipio,poblacion_2025,gyms_google,fitness_x10k,lat,lon,radius_m,gyms_sample_names,gyms_google_new,fitness_x10k_new,catchment_pop_25km,real_market_potential,dist_albacete_km,opportunity_score,catchment_gyms_25km,opportunity_score_v2,growth_5y,growth_10y,market_type,fitness_population,fitness_ratio
Montealegre del Castillo,2051,31,151.14578254509993,38.7888493,-1.3270397,6000,Ecuavolley; Gimnasio Municipal de Montealegre; Polideportivo; Sx morillo's park,4.0,19.502681618722573,36307,7261.4,51.49154415029342,7261.4,32.0,1100.2121212121212,0.004899559039686428,-0.03345900094250707,Mercado emergente,54866.0,26.75085324232082
Motilleja,673,36,534.9182763744427,39.1803118,-1.7910132,4000,,0.0,0.0,199093,199093.0,21.517138964358665,171356.46991324238,102.0,1932.9417475728155,0.1643598615916955,0.2126126126126126,Mercado emergente,14298.0,21.24517087667162
Munera,3351,21,62.66786034019696,39.0424927,-2.4783117,6000,Atomic Sports; Gimnasio Municipal de Munera; Polideportivo,3.0,8.952551477170994,11759,2939.75,53.669334173518806,2939.75,12.0,904.5384615384615,-0.022747156605424323,-0.08015371946198188,Mercado débil,92530.0,27.612652939421068
Navas de Jorquera,521,18,345.489443378119,39.2800859,-1.7192136,4000,,0.0,0.0,29662,29662.0,34.013850710889145,29662.0,28.0,1022.8275862068964,0.0,-0.0057251908396946565,Mercado competitivo,13354.0,25.63147792706334
Nerpio,1136,10,88.02816901408451,38.1477676,-2.2987502,6000,Explora Segura; Polideportivo Municipal de Nerpio,2.0,17.6056338028169,3607,1202.3333333333333,101.56876911750808,1202.3333333333333,5.0,601.1666666666666,-0.035653650254668934,-0.16593245227606462,Mercado débil,32928.0,28.985915492957748
Ontur,1895,12,63.3245382585752,38.6159034,-1.4978716,6000,Activ Dance & Fitness,1.0,5.277044854881266,46817,23408.5,52.5059554901324,23408.5,29.0,1560.5666666666666,-0.040991902834008095,-0.11489957963568426,Oportunidad latente,54930.0,28.986807387862797
Ossa de Montiel,2233,10,44.782803403493055,38.9645905,-2.7468737,6000,Crossbodyossa; JV Pro Sport Center; Pabellón polideportivo Municipal Oscar Sevilla; SERVICIOS CINEGÉTICOS H. MORA.,4.0,17.913121361397224,8229,1645.8,76.71749323377801,1645.8,10.0,748.0909090909091,-0.01282051282051282,-0.11035856573705179,Mercado competitivo,66852.0,29.93819973130318
Paterna del Madera,328,34,1036.5853658536585,38.5973796,-2.3458767,4000,,0.0,0.0,7894,7894.0,60.99741593600496,7894.0,8.0,877.1111111111111,-0.00303951367781155,-0.13227513227513227,Mercado competitivo,9600.0,29.26829268292683
Peñas de San Pedro,1488,11,73.9247311827957,38.7256513,-2.0010004,6000,Gimnasio Municipal; PABELLÓN POLIDEPORTIVO MUNICIPAL de Peñas de San Pedro.,2.0,13.440860215053764,12991,4330.333333333333,32.27529578122518,4330.333333333333,12.0,999.3076923076924,0.06743185078909612,0.039832285115303984,Mercado competitivo,34862.0,23.428763440860216
Peñascosa,329,40,1215.80547112462,38.6716596,-2.4104201,4000,,0.0,0.0,8887,8887.0,59.661196207902506,8887.0,7.0,1110.875,-0.012012012012012012,-0.07323943661971831,Mercado emergente,8646.0,26.279635258358663
