municipio,query,place_id,name,types,lat,lon,distance_m,formattedAddress
Nerpio,centro deportivo en Nerpio,ChIJGd0qZQCRZQ0R9bTqv7ZbkA0,Polideportivo Municipal de Nerpio,establishment;point_of_interest;sports_activity_location;sports_complex,38.152219099999996,-2.2935915,669.6975908198718,
Nerpio,centro deportivo en Nerpio,ChIJfflK3TqRZQ0RkrUmJqKRZjQ,Explora Segura,adventure_sports_center;establishment;point_of_interest;sports_activity_location;sports_complex,38.148031599999996,-2.3020310999999998,288.3988020288521,
Ontur,pilates en Ontur,ChIJkTOR1hofZA0RDCAb2T9-ouw,Activ Dance & Fitness,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.6210525,-1.4977919000000002,572.5956647102697,
Ontur,crossfit en Ontur,ChIJkTOR1hofZA0RDCAb2T9-ouw,Activ Dance & Fitness,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.6210525,-1.4977919000000002,572.5956647102697,
Ossa de Montiel,gimnasio en Ossa de Montiel,ChIJAaNPtZOVaA0RBOPOplQJ1Vo,JV Pro Sport Center,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.9629471,-2.7449691,245.9861376284912,
Ossa de Montiel,gimnasio en Ossa de Montiel,ChIJS1UBynuVaA0R7jypzpZshDU,Crossbodyossa,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.962590999999996,-2.7446219,295.5269981036787,
Ossa de Montiel,fitness en Ossa de Montiel,ChIJAaNPtZOVaA0RBOPOplQJ1Vo,JV Pro Sport Center,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.9629471,-2.7449691,245.9861376284912,
Ossa de Montiel,fitness en Ossa de Montiel,ChIJS1UBynuVaA0R7jypzpZshDU,Crossbodyossa,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.962590999999996,-2.7446219,295.5269981036787,
Ossa de Montiel,centro deportivo en Ossa de Montiel,ChIJAaNPtZOVaA0RBOPOplQJ1Vo,JV Pro Sport Center,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.9629471,-2.7449691,245.9861376284912,
Ossa de Montiel,centro deportivo en Ossa de Montiel,ChIJS1UBynuVaA0R7jypzpZshDU,Crossbodyossa,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.962590999999996,-2.7446219,295.5269981036787,
Ossa de Montiel,centro deportivo en Ossa de Montiel,ChIJjfkTawCVaA0RPj0oZ9mYjVE,Pabellón polideportivo Municipal Oscar Sevilla,establishment;point_of_interest;sports_activity_location;sports_complex,38.966395399999996,-2.7454514999999997,235.36707658022166,
Ossa de Montiel,centro deportivo en Ossa de Montiel,ChIJHSLaqY2VaA0R5VkI83fUImU,SERVICIOS CINEGÉTICOS H. MORA.,association_or_organization;establishment;point_of_interest;sports_club,38.9626634,-2.742962,400.37250406958793,
Ossa de Montiel,pilates en Ossa de Montiel,ChIJAaNPtZOVaA0RBOPOplQJ1Vo,JV Pro Sport Center,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.9629471,-2.7449691,245.9861376284912,
Ossa de Montiel,pilates en Ossa de Montiel,ChIJS1UBynuVaA0R7jypzpZshDU,Crossbodyossa,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.962590999999996,-2.7446219,295.5269981036787,
Ossa de Montiel,yoga en Ossa de Montiel,ChIJAaNPtZOVaA0RBOPOplQJ1Vo,JV Pro Sport Center,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.9629471,-2.7449691,245.9861376284912,
Ossa de Montiel,yoga en Ossa de Montiel,ChIJS1UBynuVaA0R7jypzpZshDU,Crossbodyossa,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.962590999999996,-2.7446219,295.5269981036787,
Ossa de Montiel,crossfit en Ossa de Montiel,ChIJAaNPtZOVaA0RBOPOplQJ1Vo,JV Pro Sport Center,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.9629471,-2.7449691,245.9861376284912,
Ossa de Montiel,crossfit en Ossa de Montiel,ChIJS1UBynuVaA0R7jypzpZshDU,Crossbodyossa,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.962590999999996,-2.7446219,295.5269981036787,
Ossa de Montiel,entrenamiento personal en Ossa de Montiel,ChIJAaNPtZOVaA0RBOPOplQJ1Vo,JV Pro Sport Center,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.9629471,-2.7449691,245.9861376284912,
Ossa de Montiel,entrenamiento personal en Ossa de Montiel,ChIJS1UBynuVaA0R7jypzpZshDU,Crossbodyossa,establishment;gym;health;point_of_interest;sports_activity_location;sports_complex;sports_school,38.962590999999996,-2.7446219,295.5269981036787,
Peñas de San Pedro,gimnasio en Peñas de San Pedro,ChIJ3zjziI9xZg0RsOhw1ASk8u4,Gimnasio Municipal,establishment;gym;health;point_of_interest;sports_activity_location,38.7251362,-1.9996197,132.76489847606828,
Peñas de San Pedro,fitness en Peñas de San Pedro,ChIJ3zjziI9xZg0RsOhw1ASk8u4,Gimnasio Municipal,establishment;gym;health;point_of_interest;sports_activity_location,38.7251362,-1.9996197,132.76489847606828,
Peñas de San Pedro,centro deportivo en Peñas de San Pedro,ChIJZYmnjoJxZg0RFFiAXQOihlg,PABELLÓN POLIDEPORTIVO MUNICIPAL de Peñas de San Pedro.,establishment;point_of_interest;sports_activity_location;sports_complex,38.7246445,-1.997712,306.4475540754963,
